FIPS2,Percent_High_school_completion,Percent_Children_in_poverty,Percent_Kids_in_Single_Parent_Houses,Reading _scores,Math_scores
F13233,80.74,22.6,30.81,2.79,2.74
F13235,79.47,27.6,46.39,2.79,2.37
F13237,87.65,27.3,33.45,2.99,3.16
F13239,70.99,40.3,47.97,1.87,2.09
F13241,85.01,22.6,22.21,3,2.94
F13243,74.01,38.9,66.1,2.85,2.53
F13245,85.73,38.7,51.39,2.57,2.36
F13247,89.3,20.5,41.22,2.94,2.75
F13249,85.78,21.8,22.33,3.38,3.29
F13251,83.15,30.5,43.44,2.83,2.92
F13253,84.25,34.2,48.86,3.15,2.81
F13255,82.9,25.6,38.93,2.56,2.49
F13257,81.59,22.9,23.01,3.07,2.89
F13259,72.65,31.6,53.63,2.42,2.26
F13261,84.15,36.4,46.18,2.43,2.26
F13263,82.61,35.9,61.74,2.16,2.06
F13265,77.85,33.2,33.77,,
F13267,77.37,28.1,39.72,2.57,2.74
F13269,79.53,32.5,36.75,2.63,2.47
F13271,71.77,32.8,37.72,2.88,3.09
F13273,76.52,45,38.74,2.61,2.43
F13275,86.08,23.6,38.22,2.91,2.65
F13277,83.19,29.9,36.96,3.05,3.01
F13279,83.53,33.2,29.31,2.79,2.95
F13281,91.67,19.8,31.4,3.3,3.11
F13283,76.39,31.2,34.7,2.98,3.06
F13285,85.17,23.1,36.69,2.56,2.78
F13287,79.25,37.9,46.35,2.93,2.81
F13289,79.59,29,34.51,2.67,2.48
F13291,89.08,21.4,18.62,3.46,3.28
F13293,82.71,28,30.82,2.65,2.84
F13295,83.16,18.7,28.41,3.04,2.7
F13297,87.24,15.8,27.53,3.17,3.05
F13299,81.46,39.8,37.94,3.14,2.89
F13301,75.07,39.1,55.83,2.3,2.16
F13303,84.14,28.8,49.8,2.67,2.55
F13305,84.56,27.8,27.45,3.04,2.9
F13307,79.58,28,27.43,2.98,2.26
F13309,74.85,33.7,42.61,2.8,2.75
F13311,84.73,19.5,25.16,3.39,3.25
F13313,71.41,17.7,27.61,2.89,2.75
F13315,83.5,31.8,46.24,2.85,2.99
F13317,81.2,31.9,35.37,2.81,2.8
F13319,86.13,32,37.39,2.62,2.74
F13321,85.01,29.2,43.99,3.22,3.01
F15001,92.88,16.1,25.61,2.64,2.59
F15003,92.44,9.1,21.58,3.02,3.06
F15005,98.61,,,,
F15007,92.38,10.1,22.7,2.83,2.92
F15009,92.3,10.6,23.74,2.95,2.97
F16001,95.31,7,18.12,3.27,3.21
F16003,92.79,22.3,14.43,2.35,2.36
F16005,92.46,13.7,19.31,3.18,3.13
F16007,93.82,11.8,17.64,2.76,2.92
F16009,88.24,17.7,23.15,2.54,2.39
F16011,89.42,12.2,19.37,2.93,2.99
F16013,88.64,7.7,34.25,3.07,3.06
F16015,93.99,17.2,12.95,3.23,3.32
F16017,91.51,17.1,17.32,3.1,2.95
