FIPS,Percent_High_school_completion,Percent_Children_in_poverty,Percent_Kids_in_Single_Parent_Houses,Reading _scores,Math_scores
08123,87.4,9.8,19.93,2.996350414,2.957801871
08125,86.36,16.1,24.18,3.236106964,3.133699559
09001,90.22,10.8,20.61,3.290688928,3.143734059
09003,90,13.6,28.2,3.090408039,2.948612813
09005,93.82,8.2,20.08,3.346772512,3.212485445
09007,94.71,6.5,22.33,3.341316777,3.17468159
09009,90.34,13.9,30.57,3.048213859,2.907543638
09011,92.8,10.9,25.82,3.269445843,3.157371173
09013,94.75,5.6,17.87,3.351959446,3.166800718
09015,89.14,12.5,29.06,3.093229956,2.917659107
10001,87.97,16.4,34.4,3.291416652,3.170536112
10003,92.14,13.9,28.18,2.932031009,2.826392694
10005,89.02,17.4,27.06,3.092352734,3.107391386
11001,91.87,22.3,46.6,2.923146748,2.832881684
12001,92.79,15.1,31.55,3.251949402,3.253164471
12003,84.92,17.3,21.87,3.467045561,3.537930279
12005,90.94,20,28.41,3.200399297,3.351181478
12007,78.94,22,34.16,3.061570748,3.257176821
12009,92.18,13.5,24.44,3.348473114,3.292477088
12011,89.39,14.1,31.92,3.250629889,3.306353176
12013,77.91,28.7,25.27,3.313653838,3.581669211
12015,90.82,15.8,26.85,3.372511497,3.457284746
12017,89.46,23.1,30.51,3.332730264,3.34693315
12019,92.08,12.9,20.05,3.429177407,3.486310593
12021,88.22,14.9,25.85,3.252822607,3.394596508
12023,84.98,22.8,24.9,3.198667626,3.33776398
12027,74.42,27.6,29.65,2.617861254,2.686451184
12029,79.62,31.1,25.18,3.311194868,3.271784093
12031,90.07,21.1,33.86,3.057575198,3.259959225
12033,90.36,20.4,32.42,3.105545291,3.088976902
12035,91.51,16.3,26.25,3.334439818,3.439568576
12037,81.09,30.8,24.61,2.96359472,2.928771491
12039,81.43,34.9,47.45,2.848825152,3.181852398
12041,86.61,22.5,28.53,3.295205474,3.591849876
12043,71.92,23.5,21.44,3.145605085,3.399309641
12045,85.42,25.2,25.24,3.044496947,3.174040868
12047,75.23,34.5,20.46,2.862148466,3.177814934
12049,76.19,28,28.64,3.207809622,3.355590006
12051,69.08,31.4,36.22,2.938462638,2.977682097
12053,88.37,20.1,21.51,3.280386025,3.386654557
12055,85.35,26.6,28.22,3.014246043,3.24294411
12057,88.89,14.3,29.63,3.120708712,3.129577408
12059,80.31,30.9,30.84,3.172174139,3.130142036
12061,90.09,16,24.85,3.213159974,3.259688148
12063,82.19,29.5,26.53,3.326007028,3.441575738
12065,82.6,26.4,35.05,2.81142707,2.949197814
12067,73.16,27.7,7.84,3.292166074,3.469694166
12069,89.98,14,23.11,3.252614816,3.351126213
12071,89.25,14.7,26.07,3.17784193,3.198467748
12073,93.39,22,34.82,3.34281986,3.355554877
12075,86.25,27.2,23.87,2.954123636,3.121058555
12077,79.56,24.7,27.61,3.370035462,3.49979457
12079,79.86,30.1,44.85,3.091962892,3.244553737
12081,89.42,16.2,26,3.046073941,3.147931897
12083,87.99,21.7,33.66,2.897735853,2.912743985
12085,91.43,17.3,24.06,3.191424565,3.312468955
12086,81.84,19.9,31.4,3.309531739,3.40063518
12087,91.89,15.3,23.28,3.309144608,3.289218869
12089,91.15,11.6,22.6,3.567806816,3.633744278
12091,92.56,14.2,22.23,3.425692605,3.517297022
12093,79.75,24.7,25.11,3.125195071,3.328390125
12095,88.68,16.7,27.39,3.152390922,3.29552377
12097,86.14,17.6,26.22,3.060702622,3.043024312
12099,88.77,16.2,26.1,3.170377736,3.358739198
12101,89.9,16.3,24.18,3.21712778,3.214202835
12103,91.62,15.8,31.25,3.109120131,3.27877907
12105,85.44,22.2,27.64,3.086902641,3.160851655
12107,82.59,33,33.26,2.861264137,2.966488742
12109,94.78,9.3,15.49,3.69633086,3.749571618
12111,87.26,21.2,26.81,2.996086031,3.122668498
12113,91.5,11.8,19.51,3.390706285,3.472757078
12115,93.24,13.8,25.44,3.46463755,3.532423559
12117,94.45,10.4,21.42,3.382031318,3.45007625
12119,92.22,34.8,29.88,3.428790364,3.35624752
12121,82.46,28.3,34.03,3.199366362,3.284894373
12123,81.11,25.8,35.32,3.149908457,3.337150249
12125,76.33,20.3,25.34,3.432279767,3.532251406
12127,90.79,14,28.91,3.179771751,3.208241943
12129,87.85,15.7,15.13,3.3302402,3.342546926
12131,89.31,18,25.75,3.382544533,3.419259344
12133,82.11,28.7,38.91,3.36712326,3.497349982
13001,77.24,29.9,34.42,2.801534749,2.809729529
13003,67.72,33.8,34.16,3.052052219,3.050434394
13005,82.4,29,34.67,2.785161018,2.711847407
13007,83.2,39.5,31.81,2.447604845,2.28323319
13009,86.48,30.9,42.77,2.498972732,2.420133542
13011,75.08,17.2,19.5,2.938394041,2.974826568
13013,86.51,13,23.6,3.100280576,2.921606023
13015,86.24,15.3,22.04,3.052181758,2.98037436
13017,83.57,32.7,45.15,2.650901659,2.409430337
13019,79.6,26.6,24.04,3.216769132,3.113778266
13021,86.37,37.4,48.78,2.584713168,2.389121785
13023,89.55,28.1,37.74,3.197998896,2.963576501
13025,80.52,26.6,25.21,3.080794649,3.261868055
13027,83.89,32.5,39.03,2.589974164,2.473553321
13029,92.76,9.8,23.27,3.394330363,3.218566844
13031,88.17,23.1,28.81,2.97360408,2.894325836
13033,81.38,31.6,37.12,2.643552294,2.697866471
13035,80.15,37,41.05,2.596509986,2.749614098
13037,75.54,35.9,43.16,2.446742195,2.47080373
13039,91.77,12.9,30.1,3.299986631,3.259655879
13043,78.44,31.8,34.24,2.829821469,2.505757398
13045,85.03,21.5,32.22,3.153378475,3.120524247
13047,88.89,14.2,18.75,3.061792311,2.710923996
13049,80.22,30.6,29.41,2.750315602,2.64579086
13051,90.09,24.5,40,2.698117689,2.624103203
13053,94.18,14.7,27.54,3.063807389,2.992882642
13055,72.3,26.7,25.73,3.044904381,2.950082019
13057,92.09,8.8,17.41,3.198650654,3.302949156
13059,89.46,23.1,35.01,2.545295877,2.744121981
13061,82.92,43.3,68.41,2.264794604,2.038842778
13063,84.92,25,44.87,2.506928267,2.548906464
13065,72.18,29.9,47.64,2.826291023,2.676706057
13067,92.58,10.6,24.59,3.215153165,2.993116965
13069,74.85,32.7,32.42,2.995671123,2.991215431
13071,74.6,28.9,39.85,2.772828979,2.717220303
13073,92.96,8.5,16.84,3.294115689,3.322115482
13075,80.75,29.8,27.56,2.39297297,2.484271508
13077,90.44,11.8,24.08,3.188167703,2.929887509
13079,83.06,25.1,35.79,2.886313112,2.840143392
13081,82.75,36,61.73,2.470611773,2.596460799
13083,81.51,15.5,20.16,3.128239237,3.147411987
13085,88.34,12.6,26.07,3.122336717,3.280896177
13087,82.87,36.8,45.68,2.88760613,2.967786748
13089,90.3,23.8,35.98,2.776304752,2.559619942
13091,85.67,27.8,38.56,2.907689726,2.694844488
13093,80.47,35.2,31.4,2.339536145,1.94860002
13095,84.4,38.1,53.05,2.512048252,2.561977233
13097,87.71,16.5,32.25,2.987298483,2.819160764
13099,80.95,36.2,50.87,2.635441987,2.761673245
13101,76.85,31.2,12.47,2.791925035,2.541230349
13103,89.41,11.3,19.29,3.280355084,3.123531625
13105,78.76,38,31.84,2.602793335,2.632622794
13107,79.25,34.3,39.79,2.852226171,2.600440018
13109,77.01,29.5,37.94,2.234898822,2.492040625
13111,88.01,24.1,29.69,3.298835367,3.019155168
13113,95.51,7.2,21.54,3.49041225,3.381669457
13115,83.67,26.2,33.33,2.910701383,3.072396578
13117,93.37,5.4,10.82,3.69442898,3.725683031
13119,81.57,23.7,32.04,2.648171334,2.664867447
13121,93.07,17.5,36.12,2.95232338,2.848657602
13123,84.37,23.5,29.21,2.886539793,2.809851534
13125,76.09,18.5,49.77,2.975062198,3.007689554
13127,88.63,24.5,33.93,2.957561316,2.851895281
13129,77.92,15,23.69,2.956158729,2.825554138
13131,81.27,27.4,29.62,2.567571141,2.720263928
13133,86.95,28.5,44.78,3.041861384,3.198384065
13135,87.95,13.5,21.59,3.224147086,3.172438685
13137,80.18,16.8,16.22,3.143647557,3.066850422
13139,79.19,19.6,23.94,2.669036822,2.68621586
13141,70.32,41.2,75.96,2.377971987,1.591671317
13143,82.28,20,23.16,3.147083692,3.10056311
13145,93.63,11.1,15.8,3.180856749,2.95447563
